ts,id,h,w,l,class,x,y,z,vx,vy,vel,ax,ay,acc,heading,model_reference
70000,3,1.6,1.9,4.9,,0.06356000000000002,-140.70350000000002,0,0,0,0,0,0,0,0,
80000,0,0,0,0,,-27.79344,-137.03672,0,0,0,0,0,0,0,0,vehicle.tesla.model3
80000,1,0,0,0,,-0.59392,-130.20712,0,0,0,0,0,0,0,180,vehicle.audi.etron
80000,2,1.7,2,6,,18.59376,-133.95312,0,0,0,0,0,0,0,180,
80000,3,1.6,1.9,4.9,,0.10264,-140.704,0,0,0,0,0,0,0,0,
90000,0,0,0,0,,-27.69762,-137.03755999999998,0,0,0,0,0,0,0,0,vehicle.tesla.model3
90000,1,0,0,0,,-0.65066,-130.20676,0,0,0,0,0,0,0,180,vehicle.audi.etron
90000,2,1.7,2,6,,18.497980000000002,-133.95226,0,0,0,0,0,0,0,180,
90000,3,1.6,1.9,4.9,,0.14171999999999998,-140.70450000000002,0,0,0,0,0,0,0,0,
100000,0,0,0,0,,-27.601799999999997,-137.0384,0,0,0,0,0,0,0,0,vehicle.tesla.model3
100000,1,0,0,0,,-0.7074000000000001,-130.2064,0,0,0,0,0,0,0,180,vehicle.audi.etron
100000,2,1.7,2,6,,18.4022,-133.9514,0,0,0,0,0,0,0,180,
100000,3,1.6,1.9,4.9,,0.1808,-140.705,0,0,0,0,0,0,0,0,
110000,0,0,0,0,,-27.50598,-137.03924,0,0,0,0,0,0,0,0,vehicle.tesla.model3
110000,1,0,0,0,,-0.76414,-130.20604,0,0,0,0,0,0,0,180,vehicle.audi.etron
110000,2,1.7,2,6,,18.30642,-133.95054,0,0,0,0,0,0,0,180,
110000,3,1.6,1.9,4.9,,0.21988,-140.7055,0,0,0,0,0,0,0,0,
120000,0,0,0,0,,-27.41016,-137.04008,0,0,0,0,0,0,0,0,vehicle.tesla.model3
120000,1,0,0,0,,-0.8208799999999999,-130.20568,0,0,0,0,0,0,0,180,vehicle.audi.etron
120000,2,1.7,2,6,,18.21064,-133.94968,0,0,0,0,0,0,0,180,
120000,3,1.6,1.9,4.9,,0.25896,-140.70600000000002,0,0,0,0,0,0,0,0,
130000,0,0,0,0,,-27.31434,-137.04092,0,0,0,0,0,0,0,0,vehicle.tesla.model3
130000,1,0,0,0,,-0.8776200000000001,-130.20532,0,0,0,0,0,0,0,180,vehicle.audi.etron
130000,2,1.7,2,6,,18.11486,-133.94882,0,0,0,0,0,0,0,180,
130000,3,1.6,1.9,4.9,,0.29804,-140.7065,0,0,0,0,0,0,0,0,
140000,0,0,0,0,,-27.218519999999998,-137.04176,0,0,0,0,0,0,0,0,vehicle.tesla.model3
140000,1,0,0,0,,-0.9343600000000001,-130.20496,0,0,0,0,0,0,0,180,vehicle.audi.etron
140000,2,1.7,2,6,,18.01908,-133.94796,0,0,0,0,0,0,0,180,
140000,3,1.6,1.9,4.9,,0.33712000000000003,-140.70700000000002,0,0,0,0,0,0,0,0,
150000,0,0,0,0,,-27.122700000000002,-137.0426,0,0,0,0,0,0,0,0,vehicle.tesla.model3
150000,1,0,0,0,,-0.9911,-130.2046,0,0,0,0,0,0,0,180,vehicle.audi.etron
150000,2,1.7,2,6,,17.9233,-133.9471,0,0,0,0,0,0,0,180,
150000,3,1.6,1.9,4.9,,0.3762,-140.7075,0,0,0,0,0,0,0,0,
160000,0,0,0,0,,-27.026880000000002,-137.04344,0,0,0,0,0,0,0,0,vehicle.tesla.model3
160000,1,0,0,0,,-1.04784,-130.20424,0,0,0,0,0,0,0,180,vehicle.audi.etron
160000,2,1.7,2,6,,17.82752,-133.94624,0,0,0,0,0,0,0,180,
160000,3,1.6,1.9,4.9,,0.41528,-140.708,0,0,0,0,0,0,0,0,
170000,0,0,0,0,,-26.93106,-137.04428000000001,0,0,0,0,0,0,0,0,vehicle.tesla.model3
170000,1,0,0,0,,-1.1045800000000001,-130.20388,0,0,0,0,0,0,0,180,vehicle.audi.etron
170000,2,1.7,2,6,,17.73174,-133.94538,0,0,0,0,0,0,0,180,
170000,3,1.6,1.9,4.9,,0.4543600000000001,-140.70850000000002,0,0,0,0,0,0,0,0,
180000,0,0,0,0,,-26.83524,-137.04512,0,0,0,0,0,0,0,0,vehicle.tesla.model3
180000,1,0,0,0,,-1.1613200000000001,-130.20352,0,0,0,0,0,0,0,180,vehicle.audi.etron
180000,2,1.7,2,6,,17.63596,-133.94451999999998,0,0,0,0,0,0,0,180,
180000,3,1.6,1.9,4.9,,0.49343999999999993,-140.709,0,0,0,0,0,0,0,0,
190000,0,0,0,0,,-26.73942,-137.04596,0,0,0,0,0,0,0,0,vehicle.tesla.model3
190000,1,0,0,0,,-1.21806,-130.20316,0,0,0,0,0,0,0,180,vehicle.audi.etron
190000,2,1.7,2,6,,17.54018,-133.94366,0,0,0,0,0,0,0,180,
190000,3,1.6,1.9,4.9,,0.53252,-140.70950000000002,0,0,0,0,0,0,0,0,
200000,0,0,0,0,,-26.643600000000003,-137.04680000000002,0,0,0,0,0,0,0,0,vehicle.tesla.model3
200000,1,0,0,0,,-1.2748000000000002,-130.2028,0,0,0,0,0,0,0,180,vehicle.audi.etron
200000,2,1.7,2,6,,17.4444,-133.9428,0,0,0,0,0,0,0,180,
200000,3,1.6,1.9,4.9,,0.5716,-140.71,0,0,0,0,0,0,0,0,
210000,0,0,0,0,,-26.54778,-137.04764,0,0,0,0,0,0,0,0,vehicle.tesla.model3
210000,1,0,0,0,,-1.33154,-130.20244,0,0,0,0,0,0,0,180,vehicle.audi.etron
210000,2,1.7,2,6,,17.34862,-133.94194,0,0,0,0,0,0,0,180,
210000,3,1.6,1.9,4.9,,0.61068,-140.7105,0,0,0,0,0,0,0,0,
220000,0,0,0,0,,-26.45196,-137.04848,0,0,0,0,0,0,0,0,vehicle.tesla.model3
220000,1,0,0,0,,-1.38828,-130.20208,0,0,0,0,0,0,0,180,vehicle.audi.etron
220000,2,1.7,2,6,,17.252840000000003,-133.94108,0,0,0,0,0,0,0,180,
220000,3,1.6,1.9,4.9,,0.64976,-140.711,0,0,0,0,0,0,0,0,
230000,0,0,0,0,,-26.35614,-137.04932000000002,0,0,0,0,0,0,0,0,vehicle.tesla.model3
230000,1,0,0,0,,-1.4450200000000002,-130.20172,0,0,0,0,0,0,0,180,vehicle.audi.etron
230000,2,1.7,2,6,,17.157059999999998,-133.94022,0,0,0,0,0,0,0,180,
230000,3,1.6,1.9,4.9,,0.68884,-140.7115,0,0,0,0,0,0,0,0,
240000,0,0,0,0,,-26.260320000000004,-137.05016,0,0,0,0,0,0,0,0,vehicle.tesla.model3
240000,1,0,0,0,,-1.50176,-130.20136,0,0,0,0,0,0,0,180,vehicle.audi.etron
240000,2,1.7,2,6,,17.06128,-133.93936,0,0,0,0,0,0,0,180,
240000,3,1.6,1.9,4.9,,0.72792,-140.71200000000002,0,0,0,0,0,0,0,0,
250000,0,0,0,0,,-26.1645,-137.05100000000002,0,0,0,0,0,0,0,0,vehicle.tesla.model3
250000,1,0,0,0,,-1.5585,-130.201,0,0,0,0,0,0,0,180,vehicle.audi.etron
250000,2,1.7,2,6,,16.9655,-133.9385,0,0,0,0,0,0,0,180,
250000,3,1.6,1.9,4.9,,0.767,-140.7125,0,0,0,0,0,0,0,0,
260000,0,0,0,0,,-26.06868,-137.05184,0,0,0,0,0,0,0,0,vehicle.tesla.model3
260000,1,0,0,0,,-1.61524,-130.20064,0,0,0,0,0,0,0,180,vehicle.audi.etron
260000,2,1.7,2,6,,16.86972,-133.93764,0,0,0,0,0,0,0,180,
260000,3,1.6,1.9,4.9,,0.80608,-140.713,0,0,0,0,0,0,0,0,
270000,0,0,0,0,,-25.97286,-137.05268,0,0,0,0,0,0,0,0,vehicle.tesla.model3
270000,1,0,0,0,,-1.67198,-130.20028,0,0,0,0,0,0,0,180,vehicle.audi.etron
270000,2,1.7,2,6,,16.77394,-133.93678,0,0,0,0,0,0,0,180,
270000,3,1.6,1.9,4.9,,0.84516,-140.7135,0,0,0,0,0,0,0,0,
280000,0,0,0,0,,-25.87704,-137.05352000000002,0,0,0,0,0,0,0,0,vehicle.tesla.model3
280000,1,0,0,0,,-1.7287200000000003,-130.19992,0,0,0,0,0,0,0,180,vehicle.audi.etron
280000,2,1.7,2,6,,16.678160000000002,-133.93592,0,0,0,0,0,0,0,180,
280000,3,1.6,1.9,4.9,,0.8842400000000001,-140.714,0,0,0,0,0,0,0,0,
290000,0,0,0,0,,-25.781219999999998,-137.05436,0,0,0,0,0,0,0,0,vehicle.tesla.model3
290000,1,0,0,0,,-1.78546,-130.19956,0,0,0,0,0,0,0,180,vehicle.audi.etron
290000,2,1.7,2,6,,16.58238,-133.93506,0,0,0,0,0,0,0,180,
290000,3,1.6,1.9,4.9,,0.9233199999999999,-140.71450000000002,0,0,0,0,0,0,0,0,
300000,0,0,0,0,,-25.6854,-137.0552,0,0,0,0,0,0,0,0,vehicle.tesla.model3
300000,1,0,0,0,,-1.8422,-130.1992,0,0,0,0,0,0,0,180,vehicle.audi.etron
300000,2,1.7,2,6,,16.486600000000003,-133.9342,0,0,0,0,0,0,0,180,
300000,3,1.6,1.9,4.9,,0.9623999999999999,-140.715,0,0,0,0,0,0,0,0,
310000,0,0,0,0,,-25.58958,-137.05604,0,0,0,0,0,0,0,0,vehicle.tesla.model3
310000,1,0,0,0,,-1.89894,-130.19884,0,0,0,0,0,0,0,180,vehicle.audi.etron
310000,2,1.7,2,6,,16.390819999999998,-133.93334000000002,0,0,0,0,0,0,0,180,
310000,3,1.6,1.9,4.9,,1.00148,-140.7155,0,0,0,0,0,0,0,0,
320000,0,0,0,0,,-25.49376,-137.05688,0,0,0,0,0,0,0,0,vehicle.tesla.model3
320000,1,0,0,0,,-1.95568,-130.19848,0,0,0,0,0,0,0,180,vehicle.audi.etron
320000,2,1.7,2,6,,16.29504,-133.93248,0,0,0,0,0,0,0,180,
320000,3,1.6,1.9,4.9,,1.04056,-140.716,0,0,0,0,0,0,0,0,
330000,0,0,0,0,,-25.39794,-137.05772000000002,0,0,0,0,0,0,0,0,vehicle.tesla.model3
330000,1,0,0,0,,-2.01242,-130.19812,0,0,0,0,0,0,0,180,vehicle.audi.etron
330000,2,1.7,2,6,,16.19926,-133.93162,0,0,0,0,0,0,0,180,
330000,3,1.6,1.9,4.9,,1.07964,-140.7165,0,0,0,0,0,0,0,0,
340000,0,0,0,0,,-25.302120000000002,-137.05856,0,0,0,0,0,0,0,0,vehicle.tesla.model3
340000,1,0,0,0,,-2.06916,-130.19776,0,0,0,0,0,0,0,180,vehicle.audi.etron
340000,2,1.7,2,6,,16.10348,-133.93076,0,0,0,0,0,0,0,180,
340000,3,1.6,1.9,4.9,,1.1187200000000002,-140.717,0,0,0,0,0,0,0,0,
350000,0,0,0,0,,-25.206300000000002,-137.0594,0,0,0,0,0,0,0,0,vehicle.tesla.model3
350000,1,0,0,0,,-2.1259,-130.1974,0,0,0,0,0,0,0,180,vehicle.audi.etron
350000,2,1.7,2,6,,16.0077,-133.9299,0,0,0,0,0,0,0,180,
350000,3,1.6,1.9,4.9,,1.1578,-140.7175,0,0,0,0,0,0,0,0,
360000,0,0,0,0,,-25.11048,-137.06024,0,0,0,0,0,0,0,0,vehicle.tesla.model3
360000,1,0,0,0,,-2.18264,-130.19704,0,0,0,0,0,0,0,180,vehicle.audi.etron
360000,2,1.7,2,6,,15.91192,-133.92904000000001,0,0,0,0,0,0,0,180,
360000,3,1.6,1.9,4.9,,1.19688,-140.718,0,0,0,0,0,0,0,0,
370000,0,0,0,0,,-25.01466,-137.06108,0,0,0,0,0,0,0,0,vehicle.tesla.model3
370000,1,0,0,0,,-2.23938,-130.19668,0,0,0,0,0,0,0,180,vehicle.audi.etron
370000,2,1.7,2,6,,15.81614,-133.92818,0,0,0,0,0,0,0,180,
370000,3,1.6,1.9,4.9,,1.2359600000000002,-140.7185,0,0,0,0,0,0,0,0,
380000,0,0,0,0,,-24.91884,-137.06192,0,0,0,0,0,0,0,0,vehicle.tesla.model3
380000,1,0,0,0,,-2.29612,-130.19632,0,0,0,0,0,0,0,180,vehicle.audi.etron
380000,2,1.7,2,6,,15.720360000000001,-133.92732,0,0,0,0,0,0,0,180,
380000,3,1.6,1.9,4.9,,1.27504,-140.719,0,0,0,0,0,0,0,0,
390000,0,0,0,0,,-24.823020000000003,-137.06276,0,0,0,0,0,0,0,0,vehicle.tesla.model3
390000,1,0,0,0,,-2.35286,-130.19595999999999,0,0,0,0,0,0,0,180,vehicle.audi.etron
390000,2,1.7,2,6,,15.624580000000002,-133.92646000000002,0,0,0,0,0,0,0,180,
390000,3,1.6,1.9,4.9,,1.3141200000000002,-140.7195,0,0,0,0,0,0,0,0,
400000,0,0,0,0,,-24.727200000000003,-137.0636,0,0,0,0,0,0,0,0,vehicle.tesla.model3
400000,1,0,0,0,,-2.4096,-130.19559999999998,0,0,0,0,0,0,0,180,vehicle.audi.etron
400000,2,1.7,2,6,,15.528800000000002,-133.9256,0,0,0,0,0,0,0,180,
400000,3,1.6,1.9,4.9,,1.3532,-140.72,0,0,0,0,0,0,0,0,
410000,0,0,0,0,,-24.63138,-137.06444,0,0,0,0,0,0,0,0,vehicle.tesla.model3
410000,1,0,0,0,,-2.4663399999999998,-130.19523999999998,0,0,0,0,0,0,0,180,vehicle.audi.etron
410000,2,1.7,2,6,,15.43302,-133.92474,0,0,0,0,0,0,0,180,
410000,3,1.6,1.9,4.9,,1.3922800000000002,-140.7205,0,0,0,0,0,0,0,0,
420000,0,0,0,0,,-24.53556,-137.06528,0,0,0,0,0,0,0,0,vehicle.tesla.model3
420000,1,0,0,0,,-2.5230799999999998,-130.19487999999998,0,0,0,0,0,0,0,180,vehicle.audi.etron
420000,2,1.7,2,6,,15.33724,-133.92388,0,0,0,0,0,0,0,180,
420000,3,1.6,1.9,4.9,,1.43136,-140.721,0,0,0,0,0,0,0,0,
430000,0,0,0,0,,-24.43974,-137.06611999999998,0,0,0,0,0,0,0,0,vehicle.tesla.model3
430000,1,0,0,0,,-2.57982,-130.19451999999998,0,0,0,0,0,0,0,180,vehicle.audi.etron
430000,2,1.7,2,6,,15.24146,-133.92302,0,0,0,0,0,0,0,180,
430000,3,1.6,1.9,4.9,,1.4704400000000002,-140.7215,0,0,0,0,0,0,0,0,
440000,0,0,0,0,,-24.343919999999997,-137.06696,0,0,0,0,0,0,0,0,vehicle.tesla.model3
440000,1,0,0,0,,-2.6365600000000002,-130.19415999999998,0,0,0,0,0,0,0,180,vehicle.audi.etron
440000,2,1.7,2,6,,15.14568,-133.92216000000002,0,0,0,0,0,0,0,180,
440000,3,1.6,1.9,4.9,,1.50952,-140.722,0,0,0,0,0,0,0,0,
450000,0,0,0,0,,-24.2481,-137.0678,0,0,0,0,0,0,0,0,vehicle.tesla.model3
450000,1,0,0,0,,-2.6933000000000002,-130.19379999999998,0,0,0,0,0,0,0,180,vehicle.audi.etron
450000,2,1.7,2,6,,15.049900000000001,-133.9213,0,0,0,0,0,0,0,180,
450000,3,1.6,1.9,4.9,,1.5486000000000002,-140.7225,0,0,0,0,0,0,0,0,
460000,0,0,0,0,,-24.15228,-137.06864,0,0,0,0,0,0,0,0,vehicle.tesla.model3
460000,1,0,0,0,,-2.7500400000000003,-130.19343999999998,0,0,0,0,0,0,0,180,vehicle.audi.etron
460000,2,1.7,2,6,,14.954120000000001,-133.92044,0,0,0,0,0,0,0,180,
460000,3,1.6,1.9,4.9,,1.58768,-140.72299999999998,0,0,0,0,0,0,0,0,
470000,0,0,0,0,,-24.05646,-137.06948,0,0,0,0,0,0,0,0,vehicle.tesla.model3
470000,1,0,0,0,,-2.80678,-130.19308,0,0,0,0,0,0,0,180,vehicle.audi.etron
470000,2,1.7,2,6,,14.85834,-133.91958,0,0,0,0,0,0,0,180,
470000,3,1.6,1.9,4.9,,1.62676,-140.7235,0,0,0,0,0,0,0,0,
480000,0,0,0,0,,-23.960639999999998,-137.07032,0,0,0,0,0,0,0,0,vehicle.tesla.model3
480000,1,0,0,0,,-2.86352,-130.19272,0,0,0,0,0,0,0,180,vehicle.audi.etron
480000,2,1.7,2,6,,14.762559999999999,-133.91872,0,0,0,0,0,0,0,180,
480000,3,1.6,1.9,4.9,,1.66584,-140.724,0,0,0,0,0,0,0,0,
490000,0,0,0,0,,-23.86482,-137.07116,0,0,0,0,0,0,0,0,vehicle.tesla.model3
490000,1,0,0,0,,-2.9202600000000003,-130.19236,0,0,0,0,0,0,0,180,vehicle.audi.etron
490000,2,1.7,2,6,,14.66678,-133.91786,0,0,0,0,0,0,0,180,
490000,3,1.6,1.9,4.9,,1.70492,-140.7245,0,0,0,0,0,0,0,0,
500000,0,0,0,0,,-23.769000000000002,-137.072,0,0,0,0,0,0,0,0,vehicle.tesla.model3
500000,1,0,0,0,,-2.977,-130.192,0,0,0,0,0,0,0,180,vehicle.audi.etron
500000,2,1.7,2,6,,14.571,-133.917,0,0,0,0,0,0,0,180,
500000,3,1.6,1.9,4.9,,1.744,-140.725,0,0,0,0,0,0,0,0,
510000,0,0,0,0,,-23.673180000000002,-137.07284,0,0,0,0,0,0,0,0,vehicle.tesla.model3
510000,1,0,0,0,,-3.0337400000000003,-130.19164,0,0,0,0,0,0,0,180,vehicle.audi.etron
510000,2,1.7,2,6,,14.47522,-133.91613999999998,0,0,0,0,0,0,0,180,
510000,3,1.6,1.9,4.9,,1.78308,-140.72549999999998,0,0,0,0,0,0,0,0,
520000,0,0,0,0,,-23.57736,-137.07368,0,0,0,0,0,0,0,0,vehicle.tesla.model3
520000,1,0,0,0,,-3.09048,-130.19128,0,0,0,0,0,0,0,180,vehicle.audi.etron
520000,2,1.7,2,6,,14.37944,-133.91528,0,0,0,0,0,0,0,180,
520000,3,1.6,1.9,4.9,,1.8221600000000002,-140.726,0,0,0,0,0,0,0,0,
530000,0,0,0,0,,-23.48154,-137.07452,0,0,0,0,0,0,0,0,vehicle.tesla.model3
530000,1,0,0,0,,-3.14722,-130.19092,0,0,0,0,0,0,0,180,vehicle.audi.etron
530000,2,1.7,2,6,,14.28366,-133.91442,0,0,0,0,0,0,0,180,
530000,3,1.6,1.9,4.9,,1.86124,-140.7265,0,0,0,0,0,0,0,0,
540000,0,0,0,0,,-23.385720000000003,-137.07536000000002,0,0,0,0,0,0,0,0,vehicle.tesla.model3
540000,1,0,0,0,,-3.2039600000000004,-130.19056,0,0,0,0,0,0,0,180,vehicle.audi.etron
540000,2,1.7,2,6,,14.18788,-133.91356,0,0,0,0,0,0,0,180,
540000,3,1.6,1.9,4.9,,1.9003200000000002,-140.727,0,0,0,0,0,0,0,0,
550000,0,0,0,0,,-23.2899,-137.0762,0,0,0,0,0,0,0,0,vehicle.tesla.model3
550000,1,0,0,0,,-3.2607,-130.1902,0,0,0,0,0,0,0,180,vehicle.audi.etron
550000,2,1.7,2,6,,14.0921,-133.9127,0,0,0,0,0,0,0,180,
550000,3,1.6,1.9,4.9,,1.9394,-140.7275,0,0,0,0,0,0,0,0,
560000,0,0,0,0,,-23.19408,-137.07704,0,0,0,0,0,0,0,0,vehicle.tesla.model3
560000,1,0,0,0,,-3.3174400000000004,-130.18984,0,0,0,0,0,0,0,180,vehicle.audi.etron
560000,2,1.7,2,6,,13.99632,-133.91183999999998,0,0,0,0,0,0,0,180,
560000,3,1.6,1.9,4.9,,1.9784800000000002,-140.728,0,0,0,0,0,0,0,0,
570000,0,0,0,0,,-23.09826,-137.07788000000002,0,0,0,0,0,0,0,0,vehicle.tesla.model3
570000,1,0,0,0,,-3.37418,-130.18948,0,0,0,0,0,0,0,180,vehicle.audi.etron
570000,2,1.7,2,6,,13.900540000000001,-133.91098,0,0,0,0,0,0,0,180,
570000,3,1.6,1.9,4.9,,2.01756,-140.7285,0,0,0,0,0,0,0,0,
580000,0,0,0,0,,-23.002440000000004,-137.07872,0,0,0,0,0,0,0,0,vehicle.tesla.model3
580000,1,0,0,0,,-3.43092,-130.18912,0,0,0,0,0,0,0,180,vehicle.audi.etron
580000,2,1.7,2,6,,13.804760000000002,-133.91012,0,0,0,0,0,0,0,180,
580000,3,1.6,1.9,4.9,,2.05664,-140.729,0,0,0,0,0,0,0,0,
590000,0,0,0,0,,-22.906620000000004,-137.07956000000001,0,0,0,0,0,0,0,0,vehicle.tesla.model3
590000,1,0,0,0,,-3.4876600000000004,-130.18876,0,0,0,0,0,0,0,180,vehicle.audi.etron
590000,2,1.7,2,6,,13.708980000000002,-133.90926,0,0,0,0,0,0,0,180,
590000,3,1.6,1.9,4.9,,2.09572,-140.7295,0,0,0,0,0,0,0,0,
600000,0,0,0,0,,-22.8108,-137.08040000000003,0,0,0,0,0,0,0,0,vehicle.tesla.model3
600000,1,0,0,0,,-3.5444,-130.1884,0,0,0,0,0,0,0,180,vehicle.audi.etron
600000,2,1.7,2,6,,13.613200000000003,-133.9084,0,0,0,0,0,0,0,180,
600000,3,1.6,1.9,4.9,,2.1348,-140.73,0,0,0,0,0,0,0,0,
610000,0,0,0,0,,-22.71498,-137.08124,0,0,0,0,0,0,0,0,vehicle.tesla.model3
610000,1,0,0,0,,-3.60114,-130.18804,0,0,0,0,0,0,0,180,vehicle.audi.etron
610000,2,1.7,2,6,,13.51742,-133.90754,0,0,0,0,0,0,0,180,
610000,3,1.6,1.9,4.9,,2.17388,-140.7305,0,0,0,0,0,0,0,0,
620000,0,0,0,0,,-22.61916,-137.08208000000002,0,0,0,0,0,0,0,0,vehicle.tesla.model3
620000,1,0,0,0,,-3.65788,-130.18768,0,0,0,0,0,0,0,180,vehicle.audi.etron
620000,2,1.7,2,6,,13.42164,-133.90668,0,0,0,0,0,0,0,180,
620000,3,1.6,1.9,4.9,,2.21296,-140.731,0,0,0,0,0,0,0,0,
630000,0,0,0,0,,-22.523339999999997,-137.08292,0,0,0,0,0,0,0,0,vehicle.tesla.model3
630000,1,0,0,0,,-3.71462,-130.18732,0,0,0,0,0,0,0,180,vehicle.audi.etron
630000,2,1.7,2,6,,13.32586,-133.90582,0,0,0,0,0,0,0,180,
630000,3,1.6,1.9,4.9,,2.25204,-140.7315,0,0,0,0,0,0,0,0,
640000,0,0,0,0,,-22.42752,-137.08376,0,0,0,0,0,0,0,0,vehicle.tesla.model3
640000,1,0,0,0,,-3.7713600000000005,-130.18696,0,0,0,0,0,0,0,180,vehicle.audi.etron
640000,2,1.7,2,6,,13.230080000000001,-133.90496,0,0,0,0,0,0,0,180,
640000,3,1.6,1.9,4.9,,2.29112,-140.732,0,0,0,0,0,0,0,0,
650000,0,0,0,0,,-22.3317,-137.0846,0,0,0,0,0,0,0,0,vehicle.tesla.model3
650000,1,0,0,0,,-3.8281,-130.1866,0,0,0,0,0,0,0,180,vehicle.audi.etron
650000,2,1.7,2,6,,13.134299999999998,-133.9041,0,0,0,0,0,0,0,180,
650000,3,1.6,1.9,4.9,,2.3302,-140.73250000000002,0,0,0,0,0,0,0,0,
660000,0,0,0,0,,-22.235879999999998,-137.08544,0,0,0,0,0,0,0,0,vehicle.tesla.model3
660000,1,0,0,0,,-3.88484,-130.18624,0,0,0,0,0,0,0,180,vehicle.audi.etron
660000,2,1.7,2,6,,13.038519999999998,-133.90324,0,0,0,0,0,0,0,180,
660000,3,1.6,1.9,4.9,,2.36928,-140.733,0,0,0,0,0,0,0,0,
670000,0,0,0,0,,-22.14006,-137.08628000000002,0,0,0,0,0,0,0,0,vehicle.tesla.model3
670000,1,0,0,0,,-3.94158,-130.18588,0,0,0,0,0,0,0,180,vehicle.audi.etron
670000,2,1.7,2,6,,12.942739999999999,-133.90238,0,0,0,0,0,0,0,180,
670000,3,1.6,1.9,4.9,,2.40836,-140.73350000000002,0,0,0,0,0,0,0,0,
680000,0,0,0,0,,-22.04424,-137.08712,0,0,0,0,0,0,0,0,vehicle.tesla.model3
680000,1,0,0,0,,-3.99832,-130.18552,0,0,0,0,0,0,0,180,vehicle.audi.etron
680000,2,1.7,2,6,,12.84696,-133.90152,0,0,0,0,0,0,0,180,
680000,3,1.6,1.9,4.9,,2.4474400000000003,-140.734,0,0,0,0,0,0,0,0,
690000,0,0,0,0,,-21.948420000000002,-137.08796,0,0,0,0,0,0,0,0,vehicle.tesla.model3
690000,1,0,0,0,,-4.05506,-130.18516,0,0,0,0,0,0,0,180,vehicle.audi.etron
690000,2,1.7,2,6,,12.75118,-133.90066000000002,0,0,0,0,0,0,0,180,
690000,3,1.6,1.9,4.9,,2.48652,-140.7345,0,0,0,0,0,0,0,0,
700000,0,0,0,0,,-21.852600000000002,-137.0888,0,0,0,0,0,0,0,0,vehicle.tesla.model3
700000,1,0,0,0,,-4.111800000000001,-130.1848,0,0,0,0,0,0,0,180,vehicle.audi.etron
